Quantity, h0910, h1011, h1112, h1213, h1314, h1415, h1516, h1617, h1718
Limit Buy, 844419, 4443998, 4290511, 2087155, 1676576, 3292518, 2088089, 3580617, 5897755
Limit Sell, 734676, 6821053, 4753709, 2578360, 1760212, 4037902, 1782604, 4635154, 5722680
Cancel Buy, 0, 1828850, 2905082, 1026461, 1881217, 1869203, 1423115, 2350548, 3711010
Cancel Sell, 0, 2828263, 2118648, 2065972, 1247929, 2715490, 1461604, 2957753, 3449175
Market Buy, 0, 1882678, 1504564, 632053, 0, 1366807, 379825, 1592624, 2255951
Market Sell, 0, 2691169, 2604419, 798912, 0, 1208576, 877526, 1527314, 3089931
