Quantity,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8,Tick_9,Tick_10,Tick_11,Tick_12,Tick_13,Tick_14,Tick_15
Limit Buy Mean,35827,12479,4225,2896,1850,1746,1091,582,553,748,78,104,54,103,161
Limit Sell Mean,40216,13876,4203,2084,2152,887,483,582,231,269,201,423,94,23,44
Cancel Buy Mean,84464,63559,60374,19987,7306,8521,7765,12439,7405,2446,9038,41,53,15,0
Cancel Sell Mean,87118,89243,45443,26623,13355,6793,2418,3493,2390,1124,440,2624,586,125,822
Limit Buy 10-11,23724,2828,1800,389,583,303,822,726,452,810,162,205,0,4,65
Limit Buy 11-12,27617,13391,5460,2321,1650,2333,2544,783,166,776,19,20,31,0,15
Limit Buy 12-13,12505,3840,1178,1549,1144,511,107,52,110,150,201,0,8,100,0
Limit Buy 14-15,27670,6220,3359,2396,1671,1577,1068,62,1563,79,17,50,0,500,8
Limit Buy 15-16,62783,31241,8351,5471,1423,4635,1275,1032,572,3084,78,181,24,54,900
Limit Buy 16-17,45233,17976,2773,1732,1115,567,436,25,312,281,20,260,285,0,140
Limit Buy 17-18,51259,11855,6656,6415,5363,2296,1383,1394,699,58,48,9,29,60,0
Limit Sell 10-11,19981,4407,1816,850,1682,190,1027,305,352,300,10,154,111,0,0
Limit Sell 11-12,36575,18449,5118,1908,1222,127,337,289,35,361,500,2614,0,51,25
Limit Sell 12-13,25453,7568,1949,571,888,250,45,51,0,2,120,0,151,0,0
Limit Sell 14-15,32405,11023,4291,767,1190,1633,164,822,250,1,102,16,100,0,0
Limit Sell 15-16,76318,27136,10112,6273,3735,1946,640,1502,250,807,82,5,3,101,0
Limit Sell 16-17,49086,15906,2886,2467,2250,526,777,11,404,400,58,150,0,0,270
Limit Sell 17-18,41695,12641,3248,1750,4093,1539,390,1092,324,10,534,20,295,10,11
Cancel Buy 10-11,10189,18599,6796,7004,2038,4487,1571,804,904,0,0,0,16,73,0
Cancel Buy 11-12,47746,50756,23284,7632,7656,994,28083,666,371,0,3,0,5,0,0
Cancel Buy 12-13,47228,20287,10831,27653,6077,296,113,32,33,1081,30,3,4,0,0
Cancel Buy 14-15,115908,48430,4503,19571,6633,12055,16004,1573,1618,170,0,0,193,0,0
Cancel Buy 15-16,170388,106111,121894,30819,7241,10427,2649,66219,306,4379,62537,0,0,4,0
Cancel Buy 16-17,82700,63819,54340,25416,12478,1191,1055,4924,1400,220,380,148,155,0,0
Cancel Buy 17-18,117089,136908,200972,21817,9020,30199,4876,12856,47202,11275,315,133,1,27,0
Cancel Sell 10-11,12486,21917,11278,6023,8128,1351,1968,2615,1831,1477,0,440,1,20,0
Cancel Sell 11-12,55781,68167,44289,21704,3029,4939,42,818,0,4082,840,1448,38,29,4584
Cancel Sell 12-13,70341,53555,32552,14700,615,0,1268,4076,103,0,28,5819,76,0,0
Cancel Sell 14-15,101038,98578,14132,28534,11900,23799,4422,10317,263,427,107,0,708,0,583
Cancel Sell 15-16,146860,248749,151736,79284,28870,10254,4916,1457,11174,1252,1873,5280,1775,544,576
Cancel Sell 16-17,84595,61677,28092,21300,6315,4166,2094,2422,2263,302,234,5337,1205,0,1
Cancel Sell 17-18,138728,72059,36019,14818,34629,3040,2214,2749,1093,330,1,47,300,282,8
