Quantity, h0910, h1011, h1112, h1213, h1314, h1415, h1516, h1617, h1718
Limit Buy, 645227, 9250354, 4766012, 3053702, 1057354, 4294298, 5505523, 6235108, 4991900
Limit Sell, 209356, 8373872, 6499092, 3036829, 1860770, 5313363, 6976236, 6290531, 4422611
Cancel Buy, 0, 3532206, 1851590, 2158403, 925397, 2414685, 2601535, 3489508, 2651073
Cancel Sell, 0, 2516714, 3492642, 1685969, 1792893, 3566583, 5201410, 4060245, 2779023
Market Buy, 0, 4249101, 3887490, 966454, 0, 2311089, 2765913, 2645678, 1893563
Market Sell, 0, 4820417, 2253858, 1364173, 0, 1661993, 1705431, 2165719, 1837443
