Quantity, h0910, h1011, h1112, h1213, h1314, h1415, h1516, h1617, h1718
Limit Buy, 503800, 5157519, 5348313, 6892218, 1705804, 8238060, 5806870, 6507073, 7701432
Limit Sell, 711578, 4716073, 4559746, 6170397, 953595, 6291531, 6719914, 7633590, 7727262
Cancel Buy, 0, 2861495, 2164681, 3906558, 1247560, 5069028, 2360116, 3044101, 3723817
Cancel Sell, 0, 1640832, 1963280, 2575336, 641539, 2036391, 2750997, 4020211, 3597284
Market Buy, 0, 1856350, 2710445, 2804639, 0, 3203411, 4003049, 3173754, 4030670
Market Sell, 0, 2658376, 2490244, 3761098, 0, 4235232, 3165206, 4260271, 3545766
